latitude, longitude, depth, strike, dip, rake, strike error, dip error, strike-dip correlation, rake error, rake-strike correlation, rake-dip correlation, magnitude, group
40.83,28.24,15,355,70,-11,10,10,0,10,0,0,5.3,3
40.82,27.77,12,33,42,-137,10,10,0,10,0,0,4.5,1
40.86,27.67,12,92,46,-137,10,10,0,10,0,0,5,1
40.8,27.84,12,20,70,133,10,10,0,10,0,0,4.5,1
40.6,29.04,0,175,70,-20,10,10,0,10,0,0,2.1,6
40.83,28.89,0,120,85,-160,10,10,0,10,0,0,2.9,5
40.61,29.14,0,65,45,-110,10,10,0,10,0,0,1.6,7
40.87,29.04,0,290,90,-120,10,10,0,10,0,0,2.5,6
40.72,29.24,0,45,75,103,10,10,0,10,0,0,2.3,7
40.59,29.23,0,60,15,-90,10,10,0,10,0,0,2.3,7
40.79,28.71,20,341,22,72,10,10,0,10,0,0,3.1,4
40.83,27.98,9.2,260,71,-164,10,10,0,10,0,0,3.1,2
40.91,28.12,5.3,6,63,-28,10,10,0,10,0,0,3.4,3
40.8,28.14,1.9,285,71,-164,10,10,0,10,0,0,3.2,2
40.82,28.09,10.3,255,73,-148,10,10,0,10,0,0,2.8,2
40.83,27.94,3.9,315,90,-30,10,10,0,10,0,0,3,1
40.83,28.05,11.1,318,56,-97,10,10,0,10,0,0,3.1,2
40.84,27.97,16.2,58,60,-174,10,10,0,10,0,0,3.1,2
40.82,28.15,11,222,56,97,10,10,0,10,0,0,3.1,3
40.83,28.14,13.2,256,61,-168,10,10,0,10,0,0,3.3,2
40.84,28.07,8.8,266,61,-168,10,10,0,10,0,0,3.1,2
40.82,27.96,10.6,167,60,-6,10,10,0,10,0,0,3,1
40.7,29.17,7.4,209,61,5,10,10,0,10,0,0,2,7
40.7,29.23,5.5,191,54,21,10,10,0,10,0,0,2,7
40.71,29.29,13.8,64,74,49,10,10,0,10,0,0,2,7
40.73,29.06,10.4,196,66,7,10,10,0,10,0,0,2,6
40.74,29.06,10.2,192,88,5,10,10,0,10,0,0,2,6
40.75,29.11,8.2,217,74,16,10,10,0,10,0,0,2,6
40.76,29.09,8.7,190,77,25,10,10,0,10,0,0,2,6
40.76,29.2,7.8,234,84,15,10,10,0,10,0,0,2,7
40.78,29.1,9.5,217,49,11,10,10,0,10,0,0,2,6
40.79,29.12,10.4,200,69,12,10,10,0,10,0,0,2,6
40.81,28.99,13.8,236,67,26,10,10,0,10,0,0,2,6
40.82,28.79,9.9,60,57,33,10,10,0,10,0,0,2,5
40.85,28.69,7.4,239,78,60,10,10,0,10,0,0,2,4
40.85,28.81,12.5,239,65,44,10,10,0,10,0,0,2,5
40.85,28.86,11.4,249,83,38,10,10,0,10,0,0,2,5
40.86,28.47,6.5,184,60,33,10,10,0,10,0,0,2,4
40.87,28.68,5.4,230,82,62,10,10,0,10,0,0,2,4
40.87,28.74,3.7,226,80,55,10,10,0,10,0,0,2,4
